eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
-230.8530731201172,,0.0,1620000,137.8,,,,,,,,,,-0.009551404044032097,0.740818202495575,-0.0001846737795858644,0.3,0.05686011011712253,0.0024608956,0.029583740234375,490,-4.256815433502197,0.4900606870651245,0.16788736,6.9492992e-05
,,,1638400,,,0.9322385311126709,0.0,203.6,50,-254.19300842285156,4638,0.9322385311126709,353,,,,,,,,,,,,
-242.6815185546875,,0.0,1640000,137.9,,,,,,,,,,-0.0027291271835565567,0.740818202495575,-7.398275629384443e-05,0.3,0.05611367826350033,0.0020926762,0.0187835693359375,500,-4.256815433502197,0.5154234766960144,0.16723200000000002,6.887040000000001e-05
-241.8199920654297,,0.0,1660000,119.7,,,,,,,,0.9667528390884399,,,,,,,,,,,,,
,,,1671168,,,,0.0,211.5,51,-261.4974365234375,4729,1.0495107471942902,353,,,,,,,,,,,,
-247.23861694335938,,0.0,1680000,186.5,,,,,,,,,,-0.0032989662140607834,0.740818202495575,-8.70771284098737e-05,0.3,0.05932946731336415,0.0038027153,0.0413360595703125,510,-4.256815433502197,0.4660901427268982,0.16657664,6.824780800000001e-05
-272.1022644042969,,0.0,1700000,211.3,,,,,,,,1.128036332130432,,,,,,,,,,,,,
,,,1703936,,,,0.02,183.49,52,-246.80624389648438,4832,1.0585291266441346,352,,,,,,,,,,,,
-258.4576416015625,,0.0,1720000,182.2,,,,,,,,,,-0.0019419621676206589,0.740818202495575,-0.0004082033468876034,0.3,0.06136732148006559,0.0025691148,0.03277587890625,520,-4.256815433502197,0.4714365005493164,0.16592128,6.7625216e-05
,,,1736704,,,,0.0,187.02,53,-250.20611572265625,4907,0.9893033921718597,353,,,,,,,,,,,,
-237.68295288085938,,0.0,1740000,167.0,,,,,,,,,,-0.002462714910507202,0.740818202495575,-0.0005461869222926907,0.3,0.05768304164521396,0.0031373329,0.03758544921875,530,-4.256815433502197,0.5464192032814026,0.16526592,6.700262400000001e-05
-253.5365753173828,,0.0,1760000,198.1,,,,,,,,1.0826818525791169,,,,,,,,,,,,,
,,,1769472,,,,0.01,174.13,54,-250.96511840820312,5006,0.9828037023544312,353,,,,,,,,,,,,
-282.59393310546875,,0.0,1780000,226.3,,,,,,,,,,-0.0066530341282486916,0.740818202495575,-0.00015507748757954688,0.3,0.05931689599528909,0.0027229798,0.0325897216796875,540,-4.256815433502197,0.5417197942733765,0.16461056000000002,6.6380032e-05
-270.75262451171875,,0.0,1800000,209.3,,0.9162802934646607,,,,,,0.9162802934646607,,,,,,,,,,,,,
,,,1802240,,,,0.0,173.86,55,-249.41415405273438,5109,1.0330577611923217,352,,,,,,,,,,,,
